Unique DAG ID,DAG Input,Function Name,Input Feature,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Start Time,End Time,Timeout Status
AS-6db6d17a-9d3a-4cbe-bb35-01352355de11,0.007032080200501253,AES1,0.006380451127819549,21886,22138,256,8,28.32384,2.764802631578948,1711076655169,1711076677055,False
AS-6db6d17a-9d3a-4cbe-bb35-01352355de11,0.007032080200501253,AES2,0.004425563909774436,21986,22138,256,8,25.915392,2.032116883116883,1711076655167,1711076677153,False
AS-6db6d17a-9d3a-4cbe-bb35-01352355de11,0.007032080200501253,AES3,0.010290225563909775,22138,22138,256,8,34.070528,4.164786666666666,1711076655168,1711076677306,False
AS-6db6d17a-9d3a-4cbe-bb35-01352355de11,0.007032080200501253,Stats,,25,,128,1,13.389824,0.004676470588235294,1711076677435,1711076677460,False
AS-08704834-6b6b-43c2-8e0e-8c9d5ffe00be,0.006375187969924812,wait1,,1012,,128,1,9.834496,0.024156249999999997,1711076677974,1711076678986,False
AS-08704834-6b6b-43c2-8e0e-8c9d5ffe00be,0.006375187969924812,AES1,0.0024654135338345864,18441,18441,256,8,23.12192,1.3777763157894738,1711076679034,1711076697475,False
AS-08704834-6b6b-43c2-8e0e-8c9d5ffe00be,0.006375187969924812,AES2,0.004420300751879699,18244,18441,256,8,26.267648,2.1138000000000003,1711076679028,1711076697272,False
AS-08704834-6b6b-43c2-8e0e-8c9d5ffe00be,0.006375187969924812,AES3,0.012239849624060151,18433,18441,256,8,37.56032,4.829173333333333,1711076679033,1711076697466,False
AS-08704834-6b6b-43c2-8e0e-8c9d5ffe00be,0.006375187969924812,Stats,,26,,128,1,13.729792,0.006580645161290323,1711076697561,1711076697587,False
AS-00033600-a86f-452a-8098-f72c86a13f93,0.00766265664160401,wait1,,1006,,128,1,9.85088,0.021531250000000002,1711076698134,1711076699140,False
AS-00033600-a86f-452a-8098-f72c86a13f93,0.00766265664160401,AES1,0.004404511278195489,13262,13463,256,8,26.062848,1.9889333333333334,1711076699185,1711076712447,False
AS-00033600-a86f-452a-8098-f72c86a13f93,0.00766265664160401,AES2,0.008314285714285715,13157,13463,256,8,32.301056,3.430486842105263,1711076699181,1711076712338,False
AS-00033600-a86f-452a-8098-f72c86a13f93,0.00766265664160401,AES3,0.010269172932330827,13463,13463,256,8,34.308096,3.8973376623376623,1711076699181,1711076712644,False
AS-00033600-a86f-452a-8098-f72c86a13f93,0.00766265664160401,Stats,,24,,128,1,14.258176,0.0054,1711076712727,1711076712751,False
AS-38897b45-15de-4ae1-baa6-e9d78d8ecdf3,0.006369924812030075,wait1,,1007,,128,1,9.838592,0.01996774193548387,1711076713264,1711076714271,False
AS-38897b45-15de-4ae1-baa6-e9d78d8ecdf3,0.006369924812030075,AES1,0.0005052631578947368,14577,16221,256,8,20.660224,0.6739078947368421,1711076714323,1711076728900,False
AS-38897b45-15de-4ae1-baa6-e9d78d8ecdf3,0.006369924812030075,AES2,0.004415037593984962,15702,16221,256,8,26.005504,2.0284155844155842,1711076714313,1711076730015,False
AS-38897b45-15de-4ae1-baa6-e9d78d8ecdf3,0.006369924812030075,AES3,0.014189473684210526,16221,16221,256,8,40.660992,5.497716049382716,1711076714333,1711076730554,False
AS-38897b45-15de-4ae1-baa6-e9d78d8ecdf3,0.006369924812030075,Stats,,26,,128,1,14.077952,0.00584375,1711076730631,1711076730657,False
AS-b107dc67-69b9-4c46-94fa-b81b64f24d81,0.008330075187969925,wait1,,1008,,128,1,9.613312,0.02232258064516129,1711076731158,1711076732166,False
AS-b107dc67-69b9-4c46-94fa-b81b64f24d81,0.008330075187969925,AES1,0.004420300751879699,20477,21124,256,8,25.96864,2.044184210526316,1711076732213,1711076752690,False
AS-b107dc67-69b9-4c46-94fa-b81b64f24d81,0.008330075187969925,AES2,0.008330075187969925,20794,21124,256,8,32.01024,3.3025064935064936,1711076732212,1711076753006,False
AS-b107dc67-69b9-4c46-94fa-b81b64f24d81,0.008330075187969925,AES3,0.012239849624060151,21124,21124,256,8,37.367808,4.490697368421053,1711076732212,1711076753336,False
AS-b107dc67-69b9-4c46-94fa-b81b64f24d81,0.008330075187969925,Stats,,26,,128,1,14.180352,0.004878787878787879,1711076753433,1711076753459,False
AS-d9f0fb0d-3277-4e6c-b34c-e90d30a3be1a,0.008324812030075188,wait1,,1007,,128,1,9.629696,0.023967741935483868,1711076753952,1711076754959,False
AS-d9f0fb0d-3277-4e6c-b34c-e90d30a3be1a,0.008324812030075188,AES1,0.00246015037593985,17910,18760,256,8,23.744512,1.4195,1711076755034,1711076772944,False
AS-d9f0fb0d-3277-4e6c-b34c-e90d30a3be1a,0.008324812030075188,AES2,0.010279699248120302,18553,18760,256,8,34.6112,4.063815789473685,1711076755034,1711076773587,False
AS-d9f0fb0d-3277-4e6c-b34c-e90d30a3be1a,0.008324812030075188,AES3,0.012234586466165414,18760,18760,256,8,37.842944,4.643486842105263,1711076755034,1711076773794,False
AS-d9f0fb0d-3277-4e6c-b34c-e90d30a3be1a,0.008324812030075188,Stats,,24,,128,1,14.532608,0.00496969696969697,1711076773906,1711076773930,False
AS-7d972e67-c1d9-4948-8b50-f43e8d577fb8,0.008340601503759398,wait1,,1011,,128,1,9.900032,0.023600000000000003,1711076774437,1711076775448,False
AS-7d972e67-c1d9-4948-8b50-f43e8d577fb8,0.008340601503759398,AES1,0.004430827067669173,25622,26603,256,8,26.54208,2.0479210526315788,1711076775488,1711076801110,False
AS-7d972e67-c1d9-4948-8b50-f43e8d577fb8,0.008340601503759398,AES2,0.010295488721804512,26541,26603,256,8,34.893824,3.926693333333333,1711076775485,1711076802026,False
AS-7d972e67-c1d9-4948-8b50-f43e8d577fb8,0.008340601503759398,AES3,0.010295488721804512,26603,26603,256,8,35.090432,3.9599740259740255,1711076775488,1711076802091,False
AS-7d972e67-c1d9-4948-8b50-f43e8d577fb8,0.008340601503759398,Stats,,25,,128,1,14.4384,0.005218749999999999,1711076802206,1711076802231,False
AS-039c02fc-6e61-4188-81a4-357f6e4da574,0.0076468671679198,wait1,,1006,,128,1,9.654272,0.021225806451612907,1711076802785,1711076803791,False
AS-039c02fc-6e61-4188-81a4-357f6e4da574,0.0076468671679198,AES1,0.0024338345864661657,6231,6442,256,8,24.010752,1.3751710526315788,1711076803836,1711076810067,False
AS-039c02fc-6e61-4188-81a4-357f6e4da574,0.0076468671679198,AES2,0.006343609022556391,6354,6442,256,8,29.745152,2.572234567901235,1711076803836,1711076810190,False
AS-039c02fc-6e61-4188-81a4-357f6e4da574,0.0076468671679198,AES3,0.014163157894736843,6442,6442,256,8,40.57088,5.337025974025974,1711076803833,1711076810275,False
AS-039c02fc-6e61-4188-81a4-357f6e4da574,0.0076468671679198,Stats,,23,,128,1,14.487552,0.005806451612903225,1711076810357,1711076810380,False
AS-4262659b-d367-4e40-a846-65c6bd2e526a,0.00766265664160401,wait1,,1005,,128,1,9.654272,0.017612903225806453,1711076810872,1711076811877,False
AS-4262659b-d367-4e40-a846-65c6bd2e526a,0.00766265664160401,AES1,0.006359398496240601,13149,13308,256,8,29.483008,2.624106666666667,1711076811916,1711076825065,False
AS-4262659b-d367-4e40-a846-65c6bd2e526a,0.00766265664160401,AES2,0.006359398496240601,13152,13308,256,8,29.597696,2.6215844155844152,1711076811916,1711076825068,False
AS-4262659b-d367-4e40-a846-65c6bd2e526a,0.00766265664160401,AES3,0.010269172932330827,13308,13308,256,8,35.414016,4.081473684210526,1711076811915,1711076825223,False
AS-4262659b-d367-4e40-a846-65c6bd2e526a,0.00766265664160401,Stats,,23,,128,1,14.266368,0.00496875,1711076825469,1711076825492,False
AS-7a33728b-517f-4ce8-8eab-f7d82bdd87d1,0.005066666666666666,wait1,,1005,,128,1,9.66656,0.020687499999999998,1711076826020,1711076827025,False
AS-7a33728b-517f-4ce8-8eab-f7d82bdd87d1,0.005066666666666666,AES1,0.0005052631578947368,12072,14599,256,8,21.622784,0.6910394736842106,1711076827081,1711076839153,False
AS-7a33728b-517f-4ce8-8eab-f7d82bdd87d1,0.005066666666666666,AES2,0.008324812030075188,14599,14599,256,8,32.78848,3.4744533333333334,1711076827083,1711076841682,False
AS-7a33728b-517f-4ce8-8eab-f7d82bdd87d1,0.005066666666666666,AES3,0.006369924812030076,13539,14599,256,8,30.154752,2.7085974025974027,1711076827081,1711076840620,False
AS-7a33728b-517f-4ce8-8eab-f7d82bdd87d1,0.005066666666666666,Stats,,23,,128,1,14.270464,0.005266666666666667,1711076842105,1711076842128,False
AS-3793e55d-8be2-45d8-a407-9e75133b429e,0.006338345864661654,wait1,,1012,,128,1,9.91232,0.024645161290322577,1711076842622,1711076843634,False
AS-3793e55d-8be2-45d8-a407-9e75133b429e,0.006338345864661654,AES1,0.0024285714285714284,3661,3763,256,8,24.334336,1.3071,1711076843817,1711076847478,False
AS-3793e55d-8be2-45d8-a407-9e75133b429e,0.006338345864661654,AES2,0.004383458646616541,3716,3763,256,8,27.11552,2.019142857142857,1711076843816,1711076847532,False
AS-3793e55d-8be2-45d8-a407-9e75133b429e,0.006338345864661654,AES3,0.012203007518796993,3763,3763,256,8,38.13376,4.5337625,1711076843817,1711076847580,False
AS-3793e55d-8be2-45d8-a407-9e75133b429e,0.006338345864661654,Stats,,23,,128,1,14.278656,0.005656250000000001,1711076847947,1711076847970,False
AS-5a4f781e-72a8-4a88-9a58-efd5ab7a8318,0.008976441102756893,wait1,,1009,,128,1,9.68704,0.02275,1711076848478,1711076849487,False
AS-5a4f781e-72a8-4a88-9a58-efd5ab7a8318,0.008976441102756893,AES1,0.006369924812030076,18862,20194,256,8,29.85984,2.665102564102564,1711076849528,1711076868390,False
AS-5a4f781e-72a8-4a88-9a58-efd5ab7a8318,0.008976441102756893,AES2,0.008324812030075188,19769,20194,256,8,32.58368,3.3645454545454543,1711076849528,1711076869297,False
AS-5a4f781e-72a8-4a88-9a58-efd5ab7a8318,0.008976441102756893,AES3,0.012234586466165414,20194,20194,256,8,38.260736,4.53156,1711076849528,1711076869722,False
AS-5a4f781e-72a8-4a88-9a58-efd5ab7a8318,0.008976441102756893,Stats,,25,,128,1,14.286848,0.005193548387096774,1711076869831,1711076869856,False
AS-295801b9-3bc8-4562-8a99-3c50d42bf468,0.003779197994987469,wait1,,1009,,128,1,9.965568,0.027903225806451614,1711076870380,1711076871389,False
AS-295801b9-3bc8-4562-8a99-3c50d42bf468,0.003779197994987469,AES1,0.0024759398496240603,16041,16042,256,8,24.63744,1.3575844155844154,1711076871430,1711076887471,False
AS-295801b9-3bc8-4562-8a99-3c50d42bf468,0.003779197994987469,AES2,0.0024759398496240603,15082,16042,256,8,24.993792,1.3401923076923077,1711076871429,1711076886511,False
AS-295801b9-3bc8-4562-8a99-3c50d42bf468,0.003779197994987469,AES3,0.006385714285714286,16042,16042,256,8,30.347264,2.707935064935065,1711076871431,1711076887473,False
AS-295801b9-3bc8-4562-8a99-3c50d42bf468,0.003779197994987469,Stats,,23,,128,1,14.372864,0.005322580645161291,1711076887599,1711076887622,False
AS-197180be-509a-496a-89d3-a175a5d31179,0.004415037593984963,wait1,,1006,,128,1,9.981952,0.021885714285714286,1711076888139,1711076889145,False
AS-197180be-509a-496a-89d3-a175a5d31179,0.004415037593984963,AES1,0.00246015037593985,14125,14125,256,8,24.55552,1.3572987012987012,1711076889188,1711076903313,False
AS-197180be-509a-496a-89d3-a175a5d31179,0.004415037593984963,AES2,0.00246015037593985,12154,14125,256,8,24.805376,1.3806973684210528,1711076889188,1711076901342,False
AS-197180be-509a-496a-89d3-a175a5d31179,0.004415037593984963,AES3,0.008324812030075188,13873,14125,256,8,34.553856,3.4284078947368424,1711076889193,1711076903066,False
AS-197180be-509a-496a-89d3-a175a5d31179,0.004415037593984963,Stats,,23,,128,1,14.37696,0.00478125,1711076907917,1711076907940,False
AS-95448d27-e283-47b9-a58b-14ca0f2e6a92,0.005723558897243107,wait1,,1006,,128,1,9.740288,0.0220625,1711076908446,1711076909452,False
AS-95448d27-e283-47b9-a58b-14ca0f2e6a92,0.005723558897243107,AES1,0.0005105263157894736,13914,17453,256,8,21.958656,0.6915822784810127,1711076909680,1711076923594,False
AS-95448d27-e283-47b9-a58b-14ca0f2e6a92,0.005723558897243107,AES2,0.0024654135338345864,16594,17453,256,8,24.59648,1.3753684210526316,1711076909680,1711076926274,False
