Unique DAG ID,DAG Input,Function Name,Input Feature,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Start Time,End Time,Timeout Status
AS-1763a3c6-f0b0-456f-af91-8755793eb522,0.007032080200501253,AES1,0.006380451127819549,21332,21969,256,8,28.475392,2.7085657894736843,1711079383743,1711079405075,False
AS-1763a3c6-f0b0-456f-af91-8755793eb522,0.007032080200501253,AES2,0.004425563909774436,21969,21969,256,8,25.86624,2.0856710526315787,1711079383745,1711079405714,False
AS-1763a3c6-f0b0-456f-af91-8755793eb522,0.007032080200501253,AES3,0.010290225563909775,21920,21969,256,8,33.783808,3.9311756756756755,1711079383743,1711079405663,False
AS-1763a3c6-f0b0-456f-af91-8755793eb522,0.007032080200501253,Stats,,24,,128,1,13.869056,0.004757575757575757,1711079406247,1711079406271,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,wait1,,1005,,128,1,9.613312,0.02240625,1711079406799,1711079407804,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,AES1,0.0024654135338345864,18150,18150,256,8,23.404544,1.3952,1711079407836,1711079425986,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,AES2,0.004420300751879699,17231,18150,256,8,26.005504,2.0885866666666666,1711079407836,1711079425067,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,AES3,0.012239849624060151,17800,18150,256,8,36.442112,4.730233766233766,1711079407836,1711079425636,False
AS-7f09cf38-f006-4622-8722-b268f7d5c987,0.006375187969924812,Stats,,23,,128,1,13.672448,0.005193548387096774,1711079426580,1711079426603,False
AS-ac904b0e-85a4-4706-8fdf-0c0d26be2f51,0.00766265664160401,wait1,,1007,,128,1,9.89184,0.01859375,1711079427084,1711079428091,False
AS-ac904b0e-85a4-4706-8fdf-0c0d26be2f51,0.00766265664160401,AES1,0.004404511278195489,13105,13360,256,8,25.82528,2.059986842105263,1711079428345,1711079441450,False
AS-ac904b0e-85a4-4706-8fdf-0c0d26be2f51,0.00766265664160401,AES2,0.008314285714285715,13309,13360,256,8,31.817728,3.330116883116883,1711079428345,1711079441654,False
AS-ac904b0e-85a4-4706-8fdf-0c0d26be2f51,0.00766265664160401,AES3,0.010269172932330827,13360,13360,256,8,34.746368,3.997723684210526,1711079428345,1711079441705,False
AS-ac904b0e-85a4-4706-8fdf-0c0d26be2f51,0.00766265664160401,Stats,,23,,128,1,13.6192,0.005633333333333333,1711079441896,1711079441919,False
AS-75f2720b-d0bd-405b-8e8b-6c16608d11a5,0.006369924812030075,wait1,,1006,,128,1,9.637888,0.0193030303030303,1711079442411,1711079443417,False
AS-75f2720b-d0bd-405b-8e8b-6c16608d11a5,0.006369924812030075,AES1,0.0005052631578947368,13000,16391,256,8,20.512768,0.692,1711079443616,1711079456616,False
AS-75f2720b-d0bd-405b-8e8b-6c16608d11a5,0.006369924812030075,AES2,0.004415037593984962,16143,16391,256,8,26.677248,2.0056666666666665,1711079443613,1711079459756,False
AS-75f2720b-d0bd-405b-8e8b-6c16608d11a5,0.006369924812030075,AES3,0.014189473684210526,16391,16391,256,8,40.648704,5.395415584415585,1711079443616,1711079460007,False
AS-75f2720b-d0bd-405b-8e8b-6c16608d11a5,0.006369924812030075,Stats,,23,,128,1,13.725696,0.005193548387096774,1711079460092,1711079460115,False
AS-37a2ff9c-18ba-4f82-b44c-fe0a47b7d07d,0.008330075187969925,wait1,,1006,,128,1,9.924608,0.017093749999999998,1711079460628,1711079461634,False
AS-37a2ff9c-18ba-4f82-b44c-fe0a47b7d07d,0.008330075187969925,AES1,0.004420300751879699,20391,20965,256,8,26.062848,2.006805194805195,1711079461666,1711079482057,False
AS-37a2ff9c-18ba-4f82-b44c-fe0a47b7d07d,0.008330075187969925,AES2,0.008330075187969925,20965,20965,256,8,31.698944,3.364779220779221,1711079461666,1711079482631,False
AS-37a2ff9c-18ba-4f82-b44c-fe0a47b7d07d,0.008330075187969925,AES3,0.012239849624060151,20920,20965,256,8,37.613568,4.735155844155844,1711079461666,1711079482586,False
AS-37a2ff9c-18ba-4f82-b44c-fe0a47b7d07d,0.008330075187969925,Stats,,26,,128,1,14.04928,0.00496875,1711079482749,1711079482775,False
AS-4b444408-2576-41c7-bb3e-629b970fe3df,0.008324812030075188,wait1,,1005,,128,1,9.936896,0.020451612903225808,1711079483299,1711079484304,False
AS-4b444408-2576-41c7-bb3e-629b970fe3df,0.008324812030075188,AES1,0.00246015037593985,17684,18622,256,8,23.506944,1.3427922077922076,1711079484337,1711079502021,False
AS-4b444408-2576-41c7-bb3e-629b970fe3df,0.008324812030075188,AES2,0.010279699248120302,18571,18622,256,8,34.865152,3.998233766233766,1711079484338,1711079502909,False
AS-4b444408-2576-41c7-bb3e-629b970fe3df,0.008324812030075188,AES3,0.012234586466165414,18622,18622,256,8,37.376,4.583727272727272,1711079484335,1711079502957,False
AS-4b444408-2576-41c7-bb3e-629b970fe3df,0.008324812030075188,Stats,,25,,128,1,13.856768,0.0054482758620689655,1711079503038,1711079503063,False
AS-794770b7-8959-47fc-9f12-4df7feedb55d,0.008340601503759398,wait1,,1007,,128,1,9.68704,0.021032258064516127,1711079503587,1711079504594,False
AS-794770b7-8959-47fc-9f12-4df7feedb55d,0.008340601503759398,AES1,0.004430827067669173,25740,26573,256,8,26.86976,2.032026315789474,1711079504632,1711079530372,False
AS-794770b7-8959-47fc-9f12-4df7feedb55d,0.008340601503759398,AES2,0.010295488721804512,26573,26573,256,8,34.983936,4.065223684210526,1711079504634,1711079531207,False
AS-794770b7-8959-47fc-9f12-4df7feedb55d,0.008340601503759398,AES3,0.010295488721804512,26367,26573,256,8,34.541568,3.925297619047619,1711079504634,1711079531001,False
AS-794770b7-8959-47fc-9f12-4df7feedb55d,0.008340601503759398,Stats,,24,,128,1,14.573568,0.00535483870967742,1711079531341,1711079531365,False
AS-4fed98e6-3bb2-4590-a491-d539aeca68a3,0.0076468671679198,wait1,,1007,,128,1,9.95328,0.02071875,1711079531864,1711079532871,False
AS-4fed98e6-3bb2-4590-a491-d539aeca68a3,0.0076468671679198,AES1,0.0024338345864661657,6300,6372,256,8,23.67488,1.3557922077922078,1711079532898,1711079539198,False
AS-4fed98e6-3bb2-4590-a491-d539aeca68a3,0.0076468671679198,AES2,0.006343609022556391,6331,6372,256,8,29.810688,2.6945,1711079532898,1711079539229,False
AS-4fed98e6-3bb2-4590-a491-d539aeca68a3,0.0076468671679198,AES3,0.014163157894736843,6372,6372,256,8,40.103936,5.294181818181817,1711079532901,1711079539273,False
AS-4fed98e6-3bb2-4590-a491-d539aeca68a3,0.0076468671679198,Stats,,22,,128,1,14.139392,0.0052,1711079539322,1711079539344,False
AS-1c514f57-c958-41ba-8726-73d84d32564b,0.00766265664160401,wait1,,1006,,128,1,9.699328,0.02361290322580645,1711079539813,1711079540819,False
AS-1c514f57-c958-41ba-8726-73d84d32564b,0.00766265664160401,AES1,0.006359398496240601,13030,13255,256,8,29.294592,2.8183466666666668,1711079540896,1711079553926,False
AS-1c514f57-c958-41ba-8726-73d84d32564b,0.00766265664160401,AES2,0.006359398496240601,13204,13255,256,8,29.696,2.6010526315789475,1711079540897,1711079554101,False
AS-1c514f57-c958-41ba-8726-73d84d32564b,0.00766265664160401,AES3,0.010269172932330827,13255,13255,256,8,34.73408,4.078394736842105,1711079540896,1711079554151,False
AS-1c514f57-c958-41ba-8726-73d84d32564b,0.00766265664160401,Stats,,22,,128,1,14.209024,0.004696969696969697,1711079554228,1711079554250,False
AS-87c65f28-c79f-439c-99da-d31332bd0bd3,0.005066666666666666,wait1,,1006,,128,1,9.965568,0.023,1711079554779,1711079555785,False
AS-87c65f28-c79f-439c-99da-d31332bd0bd3,0.005066666666666666,AES1,0.0005052631578947368,14174,14527,256,8,21.254144,0.70116,1711079555815,1711079569989,False
AS-87c65f28-c79f-439c-99da-d31332bd0bd3,0.005066666666666666,AES2,0.008324812030075188,14527,14527,256,8,32.989184,3.474946666666667,1711079555815,1711079570342,False
AS-87c65f28-c79f-439c-99da-d31332bd0bd3,0.005066666666666666,AES3,0.006369924812030076,14527,14527,256,8,29.589504,2.781013333333333,1711079555815,1711079570342,False
AS-87c65f28-c79f-439c-99da-d31332bd0bd3,0.005066666666666666,Stats,,23,,128,1,14.45888,0.004875,1711079570422,1711079570445,False
AS-8d9127ca-0912-42c7-9f84-c3a474ef3086,0.006338345864661654,wait1,,1006,,128,1,9.723904,0.018032258064516127,1711079570956,1711079571962,False
AS-8d9127ca-0912-42c7-9f84-c3a474ef3086,0.006338345864661654,AES1,0.0024285714285714284,3965,3965,256,8,24.113152,1.339551282051282,1711079571991,1711079575956,False
AS-8d9127ca-0912-42c7-9f84-c3a474ef3086,0.006338345864661654,AES2,0.004383458646616541,3917,3965,256,8,26.943488,1.9494133333333332,1711079571989,1711079575906,False
AS-8d9127ca-0912-42c7-9f84-c3a474ef3086,0.006338345864661654,AES3,0.012203007518796993,3964,3965,256,8,37.84704,4.6795584415584415,1711079571992,1711079575956,False
AS-8d9127ca-0912-42c7-9f84-c3a474ef3086,0.006338345864661654,Stats,,24,,128,1,14.237696,0.005,1711079576011,1711079576035,False
AS-d0314394-557e-4bef-a2de-0fb4023aba9c,0.008976441102756893,wait1,,1008,,128,1,9.736192,0.022771428571428574,1711079576542,1711079577550,False
AS-d0314394-557e-4bef-a2de-0fb4023aba9c,0.008976441102756893,AES1,0.006369924812030076,18563,20009,256,8,30.359552,2.646828947368421,1711079577595,1711079596158,False
AS-d0314394-557e-4bef-a2de-0fb4023aba9c,0.008976441102756893,AES2,0.008324812030075188,19680,20009,256,8,32.530432,3.2809473684210526,1711079577595,1711079597275,False
AS-d0314394-557e-4bef-a2de-0fb4023aba9c,0.008976441102756893,AES3,0.012234586466165414,20009,20009,256,8,37.818368,4.603618421052632,1711079577595,1711079597604,False
AS-d0314394-557e-4bef-a2de-0fb4023aba9c,0.008976441102756893,Stats,,25,,128,1,14.319616,0.005787878787878788,1711079597793,1711079597818,False
AS-a340e51c-c640-4a9e-8b91-28553ca59fa5,0.003779197994987469,wait1,,1006,,128,1,9.740288,0.018966666666666666,1711079598332,1711079599338,False
AS-a340e51c-c640-4a9e-8b91-28553ca59fa5,0.003779197994987469,AES1,0.0024759398496240603,15031,16545,256,8,24.854528,1.3576883116883118,1711079599430,1711079614461,False
AS-a340e51c-c640-4a9e-8b91-28553ca59fa5,0.003779197994987469,AES2,0.0024759398496240603,15887,16545,256,8,24.629248,1.377894736842105,1711079599430,1711079615317,False
AS-a340e51c-c640-4a9e-8b91-28553ca59fa5,0.003779197994987469,AES3,0.006385714285714286,16545,16545,256,8,29.581312,2.7086493506493508,1711079599430,1711079615975,False
AS-a340e51c-c640-4a9e-8b91-28553ca59fa5,0.003779197994987469,Stats,,23,,128,1,15.081472,0.006303030303030303,1711079616074,1711079616097,False
AS-f3cf84af-9834-4708-aca1-0900f8ec5553,0.004415037593984963,wait1,,1006,,128,1,9.977856,0.02167741935483871,1711079616599,1711079617605,False
