Relative Timestamp (s),CPU Usage (%),Memory Usage (%)
6.025859594345093,1.3,34.2
6.12619948387146,0.6,34.2
6.226578712463379,3.7,34.2
6.326972007751465,1.9,34.2
6.427380561828613,0.0,34.2
6.527797222137451,1.2,34.2
6.628185510635376,1.9,34.2
6.728554010391235,1.3,34.2
6.828919887542725,1.9,34.2
6.929265737533569,0.6,34.2
7.02964973449707,2.5,34.2
7.130076169967651,3.1,34.2
7.230466604232788,3.1,34.2
7.330915212631226,0.6,34.2
7.43130350112915,1.9,34.2
7.531781196594238,1.3,34.2
7.6322245597839355,1.2,34.2
7.73261022567749,1.3,34.2
7.833163022994995,1.9,34.2
7.933506727218628,9.4,34.1
8.03395128250122,2.5,34.1
8.134416818618774,2.5,34.1
8.23482370376587,3.7,34.1
8.335208654403687,0.6,34.0
8.435528039932251,0.6,34.0
8.535906314849854,1.3,34.0
8.63627576828003,1.2,34.0
8.736573219299316,8.7,34.1
8.837055683135986,7.5,34.0
8.93746280670166,1.9,34.0
9.03792929649353,1.3,34.0
9.138329982757568,0.6,34.0
9.238677501678467,1.2,34.0
9.339014530181885,0.6,34.0
9.439408779144287,0.6,34.0
9.54001760482788,1.9,34.0
9.640468835830688,1.3,34.0
9.740917444229126,1.3,34.0
9.841375827789307,1.2,34.0
9.941802263259888,1.3,34.0
10.042190790176392,0.6,34.0
10.142646551132202,1.2,34.0
10.242979764938354,3.1,34.0
10.343459606170654,1.9,33.9
10.443875312805176,1.2,33.9
10.544316291809082,0.6,33.9
10.644771814346313,1.3,33.9
10.745214462280273,1.3,33.9
10.845677375793457,3.8,33.9
10.94613003730774,1.9,33.9
11.046574592590332,0.6,33.9
11.147018194198608,1.3,33.9
11.24733304977417,1.2,33.9
11.347700357437134,0.6,33.9
11.448003768920898,1.9,33.9
11.548442602157593,1.3,33.9
11.648827314376831,1.2,33.9
11.749154567718506,1.3,33.9
11.849579334259033,2.5,33.9
11.94992208480835,1.3,33.9
12.050250053405762,1.2,33.9
12.150578022003174,15.2,33.9
12.250898122787476,9.3,33.9
12.351360559463501,2.5,33.9
12.451854944229126,1.3,33.9
12.552350521087646,1.9,33.8
12.65276312828064,1.9,33.8
12.753153085708618,3.8,33.8
12.853517055511475,3.7,33.8
12.953917264938354,1.9,33.8
13.054364442825317,2.5,33.8
13.154744625091553,4.4,33.8
13.255107641220093,26.4,33.8
13.355413675308228,26.3,33.9
13.455697536468506,44.6,34.0
13.556093215942383,20.9,34.1
13.656496524810791,14.6,34.1
13.756853103637695,36.1,34.2
13.857210636138916,24.2,34.3
13.957529783248901,29.2,34.3
14.057865381240845,35.8,34.4
14.158154487609863,31.6,34.4
14.258471250534058,11.4,34.4
14.35882043838501,10.1,34.4
14.459139585494995,6.9,34.4
14.559442043304443,24.5,34.4
14.659714698791504,26.3,34.4
14.759992837905884,20.8,34.4
14.860329866409302,13.9,34.4
14.960815668106079,3.1,34.4
15.061148405075073,1.9,34.4
15.161600112915039,0.6,34.4
15.262080907821655,1.9,34.4
15.362485885620117,0.0,34.4
15.462933540344238,0.6,34.4
15.563454627990723,1.2,34.4
15.663941621780396,2.5,34.4
15.76432466506958,1.3,34.4
15.864786624908447,1.3,34.4
15.965214252471924,0.6,34.4
16.065722703933716,1.2,34.4
16.166173458099365,0.6,34.3
16.266554832458496,2.5,34.3
16.36698293685913,1.9,34.3
16.46731185913086,1.2,34.3
16.567781448364258,0.6,34.3
16.66820740699768,1.9,34.3
16.76860022544861,2.5,34.3
16.868953227996826,0.6,34.3
16.969284534454346,0.6,34.3
17.06966996192932,3.7,34.3
17.170088291168213,1.2,34.3
17.27053427696228,0.6,34.3
17.37101697921753,1.9,34.3
17.471406936645508,0.0,34.3
17.571908235549927,1.9,34.3
17.672358512878418,0.6,34.3
17.77276039123535,1.9,34.3
17.87319254875183,8.2,34.2
17.973582983016968,0.6,34.2
18.074063777923584,4.3,34.1
18.174516201019287,3.7,34.1
18.274913787841797,1.2,34.1
18.375264406204224,2.5,34.1
18.47568392753601,0.6,34.1
18.57613492012024,1.3,34.1
18.676413536071777,4.4,34.1
18.776689291000366,21.9,34.1
18.876964330673218,17.6,34.1
18.97741675376892,7.6,34.1
19.077797412872314,2.5,34.1
19.17810583114624,2.5,34.1
19.278493881225586,1.9,34.1
19.378981351852417,0.6,34.0
19.479362726211548,0.6,34.0
19.57981300354004,2.5,34.0
19.6802077293396,0.6,34.0
19.780564785003662,1.2,34.0
19.88097357749939,1.9,34.0
19.981385231018066,0.6,34.0
20.081865310668945,1.9,34.0
20.182290077209473,0.6,34.0
20.28266716003418,1.2,34.0
20.38307499885559,1.3,34.0
20.48353600502014,2.5,34.0
20.58394503593445,1.9,34.0
20.684399366378784,1.3,34.0
20.78485941886902,1.2,34.0
20.885246515274048,2.5,34.0
20.985655069351196,0.6,34.0
21.086097478866577,1.2,34.0
21.1865074634552,0.6,34.0
21.287161111831665,0.6,34.0
21.387627363204956,1.3,34.0
21.488029956817627,0.0,34.0
21.588558435440063,2.5,34.0
21.689024925231934,1.2,34.0
21.789448499679565,0.6,34.0
21.889878034591675,3.7,34.0
21.990343809127808,0.6,34.0
22.09085965156555,1.3,34.0
22.19132423400879,2.5,34.0
22.29175090789795,0.0,34.0
22.392101287841797,1.9,34.0
22.492491245269775,3.8,33.9
22.593007564544678,1.3,33.9
22.693395853042603,1.9,33.9
22.793896198272705,2.5,33.9
22.894376039505005,2.5,33.9
22.994760990142822,1.9,33.9
23.095247268676758,0.0,33.9
23.195581197738647,1.2,33.9
23.2959942817688,0.0,33.9
23.396462202072144,2.5,33.9
23.496888399124146,1.9,33.9
23.597222328186035,1.2,33.9
23.697523593902588,3.8,33.9
23.798001050949097,10.6,33.9
23.89845633506775,1.9,33.9
23.99896812438965,0.6,33.9
24.09948706626892,0.6,33.9
24.19979453086853,11.5,33.9
24.300184726715088,3.8,33.9
24.400542974472046,1.2,33.9
24.500938892364502,3.8,33.9
24.60131049156189,1.2,33.9
24.70169734954834,3.7,33.9
24.80208945274353,1.9,33.9
24.902560710906982,1.9,33.9
25.003133535385132,1.2,33.9
25.103566884994507,2.5,33.9
25.203959703445435,5.0,33.9
25.30442523956299,34.2,34.0
25.40489935874939,46.5,33.9
25.50521683692932,40.9,33.9
25.60563039779663,20.1,33.9
25.705924034118652,6.9,33.9
25.80631947517395,5.1,33.9
25.9066960811615,1.9,33.9
26.00709366798401,0.6,33.8
26.107424020767212,0.6,33.8
26.207818746566772,5.7,33.9
26.308183670043945,0.0,33.9
26.408501625061035,1.2,33.9
26.508813858032227,3.7,33.9
26.609450340270996,1.9,33.9
26.709936380386353,1.3,33.9
26.81030011177063,1.2,33.9
26.910696744918823,1.2,33.9
27.01107907295227,1.9,33.9
27.111472129821777,0.0,33.9
27.211801290512085,1.9,33.9
27.312211275100708,0.6,33.9
27.412590503692627,0.6,33.9
27.512995719909668,3.1,33.9
27.613449096679688,2.5,33.9
27.713932752609253,1.3,33.9
27.814383029937744,1.3,33.9
27.91488242149353,0.6,33.9
28.015345811843872,1.9,33.9
28.116047382354736,0.6,33.9
28.21646237373352,0.6,33.9
28.317221879959106,0.6,33.9
28.417609214782715,1.9,33.9
28.518040418624878,2.5,33.9
28.618492603302002,3.1,33.9
28.71880793571472,6.9,33.9
28.819217443466187,7.6,33.9
28.9196035861969,1.2,33.9
29.0200412273407,0.6,33.8
29.120342016220093,1.2,33.8
29.2206711769104,0.6,33.8
29.321068048477173,1.9,33.8
29.421390533447266,0.0,33.8
29.521885633468628,2.5,33.8
29.622244358062744,1.3,33.8
29.72265338897705,1.9,33.8
29.823060035705566,1.2,33.8
29.923491954803467,1.2,33.8
30.023980617523193,1.2,33.8
30.124309062957764,0.0,33.8
30.224777460098267,4.3,33.8
30.325135231018066,0.6,33.8
30.425439834594727,0.6,33.8
30.52591872215271,2.5,33.8
30.626335620880127,2.5,33.9
30.72685194015503,1.9,33.9
30.82730770111084,1.2,33.9
30.927725553512573,1.9,33.9
31.028188705444336,0.6,33.9
31.1285982131958,0.6,33.9
31.22896957397461,1.9,33.9
31.329699277877808,0.6,33.8
31.43004322052002,1.2,33.8
31.53049349784851,1.3,33.8
31.63086223602295,1.2,33.8
31.731199026107788,1.9,33.8
31.831641674041748,0.6,33.8
31.93206548690796,0.6,33.8
32.03253936767578,1.9,33.8
32.13292407989502,0.6,33.8
32.23344564437866,0.6,33.8
32.33387589454651,0.6,33.8
32.43418502807617,1.2,33.8
32.534525871276855,1.3,33.8
32.634910583496094,2.5,33.8
32.73527526855469,1.9,33.8
32.83582162857056,1.2,33.8
32.936275482177734,1.9,33.8
33.03666067123413,1.2,33.8
33.13706636428833,0.0,33.8
33.23740339279175,0.6,33.8
33.33784770965576,1.2,33.8
33.43821096420288,1.2,33.8
33.53866410255432,0.6,33.8
33.63913297653198,1.3,33.8
33.73950219154358,8.7,33.9
33.839993476867676,6.3,33.8
33.940423250198364,0.6,33.8
34.04089069366455,2.5,33.9
34.14134764671326,1.2,33.9
34.24178767204285,1.2,33.8
34.34212350845337,0.6,33.8
34.44240760803223,0.6,33.8
34.54283404350281,1.9,33.8
34.64313578605652,3.7,33.8
34.743531942367554,2.5,33.8
34.8440043926239,0.6,33.8
34.9445321559906,1.9,33.8
35.045165061950684,1.2,33.8
35.1455602645874,0.6,33.8
35.24599552154541,0.6,33.8
35.34645867347717,0.6,33.8
35.44688367843628,0.6,33.8
35.547271966934204,1.2,33.8
35.647767066955566,2.5,33.8
35.74822545051575,2.5,33.8
35.84871506690979,0.6,33.8
35.949132204055786,1.2,33.8
36.04959201812744,1.9,33.8
36.150057792663574,0.0,33.8
36.25039553642273,18.5,33.9
36.350887060165405,15.5,33.9
36.45127892494202,0.6,33.9
36.5517144203186,1.9,33.9
36.65202498435974,3.1,33.9
36.75242733955383,3.7,33.9
36.852898836135864,1.9,33.8
36.9532732963562,1.9,33.8
37.05364727973938,3.1,33.8
37.15408945083618,1.3,33.8
37.254464626312256,5.0,33.8
37.35480713844299,32.1,33.9
37.45515727996826,46.9,33.9
37.555493116378784,45.2,34.0
37.655815839767456,19.9,34.0
37.75613832473755,11.9,34.0
37.856467962265015,14.5,34.0
37.95694971084595,3.1,34.0
38.0574107170105,0.6,34.0
38.15779709815979,1.9,33.9
38.25817656517029,1.2,33.9
38.358691692352295,0.6,33.9
38.45907425880432,0.6,33.9
38.55952167510986,1.3,33.9
38.659958362579346,1.9,33.9
38.76025414466858,11.9,33.9
38.860713958740234,3.8,33.9
38.961047410964966,1.2,33.9
39.061490535736084,1.3,33.9
39.16188716888428,1.2,33.9
39.262200593948364,1.2,33.9
39.36257719993591,1.3,33.9
39.46304225921631,0.6,33.9
39.56369066238403,1.2,33.9
39.66406726837158,1.3,33.9
39.76439023017883,1.3,33.9
39.864747285842896,1.2,33.9
39.96506428718567,0.6,33.9
40.0655198097229,1.2,33.9
40.165881633758545,0.6,33.9
40.26628255844116,0.6,33.9
40.36660647392273,0.0,33.9
40.4670090675354,1.2,33.9
40.567485332489014,1.2,33.9
40.66796135902405,1.2,33.9
40.76834297180176,4.4,33.9
40.86874580383301,0.0,33.9
40.96915125846863,1.2,33.8
41.06955671310425,1.9,33.8
41.16996645927429,1.2,33.8
41.27036237716675,0.6,33.8
41.3708279132843,1.2,33.8
41.47113394737244,0.0,33.8
41.571757078170776,3.1,33.8
41.67216515541077,1.2,33.8
41.772643089294434,1.3,33.8
41.87307167053223,0.6,33.8
41.97349405288696,1.2,33.8
42.07397532463074,0.6,33.8
42.17431974411011,1.2,33.8
42.27479124069214,3.1,33.8
42.37521004676819,0.6,33.8
42.47558856010437,0.0,33.8
42.57608985900879,1.9,33.8
42.67652916908264,1.3,33.8
42.77692675590515,4.4,33.9
42.87788152694702,1.2,33.9
42.978296995162964,0.6,33.9
43.078863859176636,1.3,33.8
43.17927026748657,1.2,33.8
43.28005361557007,0.6,33.8
43.380468130111694,1.2,33.8
43.48087406158447,0.6,33.8
43.58126425743103,1.9,33.8
43.68156385421753,3.1,33.8
43.781872272491455,11.9,33.9
43.88227415084839,3.1,33.8
43.98266959190369,0.0,33.8
44.08314895629883,1.2,33.8
44.18351745605469,0.6,33.8
44.283873081207275,0.6,33.8
44.38422894477844,0.6,33.8
44.484588384628296,0.6,33.8
44.585073471069336,1.9,33.8
44.68552899360657,1.9,33.8
44.785845041275024,2.5,33.8
44.886210441589355,2.5,33.8
44.98666286468506,0.6,33.8
45.08738303184509,2.5,33.8
45.18787670135498,0.6,33.8
45.28826117515564,0.6,33.8
45.38903784751892,0.6,33.8
45.489413022994995,1.2,33.8
45.58991003036499,1.3,33.8
45.69034242630005,2.5,33.8
45.79080271720886,0.6,33.8
45.89126229286194,1.3,33.8
45.99164366722107,1.2,33.8
46.09202694892883,1.2,33.8
46.19245624542236,1.3,33.8
46.29293179512024,0.0,33.8
46.393354654312134,1.3,33.8
46.49368238449097,0.6,33.8
46.59412145614624,1.2,33.8
46.69459319114685,1.9,33.8
46.79505753517151,1.2,33.8
46.8955352306366,3.8,33.8
46.995893478393555,0.6,33.8
47.09630799293518,1.2,33.8
47.196672439575195,0.6,33.8
47.297085762023926,0.6,33.8
47.39748287200928,0.6,33.8
47.49786019325256,1.2,33.8
47.598289489746094,0.6,33.8
47.698681116104126,2.5,33.8
47.7995502948761,0.6,33.8
47.900049686431885,2.5,33.8
48.00052618980408,0.6,33.8
48.10099720954895,0.6,33.8
48.20140790939331,0.6,33.8
