Relative Timestamp (s),CPU Usage (%),Memory Usage (%)
0.005791425704956055,35.8,70.8
0.10609865188598633,16.0,70.8
0.20640921592712402,29.6,70.9
0.30674076080322266,60.6,71.2
0.4070572853088379,26.7,71.3
0.5073754787445068,29.6,71.2
0.6077420711517334,8.2,71.2
0.7080814838409424,34.6,71.3
0.80838942527771,55.8,71.3
0.9087295532226562,30.2,71.3
1.0090947151184082,38.0,71.4
1.1095125675201416,28.3,71.5
1.2099497318267822,39.0,71.5
1.3102734088897705,18.2,71.5
1.4106309413909912,28.7,71.5
1.5109837055206299,10.0,71.5
1.6113789081573486,2.5,71.5
1.7116813659667969,3.1,71.5
1.812072515487671,0.0,71.5
1.9125401973724365,1.9,71.5
2.0129029750823975,3.1,71.5
2.1132729053497314,6.2,71.5
2.2135748863220215,5.8,71.5
2.314016342163086,34.4,71.5
2.4143714904785156,48.7,71.5
2.5147883892059326,55.7,71.6
2.6151113510131836,54.4,71.6
2.7155349254608154,63.5,71.8
2.8159589767456055,51.0,71.8
2.9162919521331787,37.9,71.9
3.016658306121826,35.0,71.9
3.117250919342041,48.1,71.9
3.2182884216308594,62.6,71.9
3.318896532058716,50.3,71.8
3.4192898273468018,61.0,72.0
3.5196845531463623,61.4,72.1
3.620096445083618,43.7,72.0
3.720444440841675,50.3,72.1
3.8207650184631348,52.2,72.1
3.9211084842681885,45.9,72.1
4.0214691162109375,46.0,72.2
4.121775388717651,39.1,72.1
4.222134828567505,40.4,72.1
4.3224663734436035,21.9,72.1
4.422790288925171,35.0,72.1
4.52312707901001,34.4,72.0
4.623525857925415,42.5,72.1
4.7238242626190186,14.5,72.0
4.824169158935547,45.9,72.1
4.924474239349365,53.5,72.1
5.02489972114563,51.9,72.1
5.125382900238037,73.4,72.0
5.225816011428833,57.7,72.1
5.326122760772705,67.1,72.2
5.426461458206177,47.4,72.2
5.526753187179565,49.1,72.2
5.627149343490601,41.5,72.2
5.72753643989563,63.9,72.2
5.827924013137817,46.9,72.4
5.928337097167969,38.7,72.3
6.028710126876831,46.8,72.4
6.1291186809539795,50.0,72.3
6.229516983032227,71.2,72.2
6.3299031257629395,47.4,72.2
6.430291652679443,39.1,72.2
6.530661344528198,37.1,72.2
