Unique DAG ID,DAG Input Content,DAG Input Size,Function Name,Function Input,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Avg CPU Usage,Start Time,End Time,Timeout Status,Input File,Predicted Input Size,Predicted Max CPU Usage,Predicted Max Memory Usage
AS-fb406766-1f51-4ce4-9f0e-bac5519ecd05,50,2700,wait1,2700,1007,,128,1,9.854976,0.0141846153846153,0.0061471418606065,1712867686541,1712867687548,False,./profiling/aes_inputs/run8.json,2669.0,0.0118777089577089,10.940661759999987
AS-fb406766-1f51-4ce4-9f0e-bac5519ecd05,50,2700,AES1,2700,1073,3243.0,256,8,22.786048,0.6611835443037974,0.6127863695156612,1712867687609,1712867688682,False,./profiling/aes_inputs/run8.json,2683.0,0.664128088030581,23.247585280000013
AS-790ae983-fba2-4a34-83d5-100a7a016251,50,9100,AES1,9100,3458,10480.0,256,8,22.81472,0.65321875,0.6271317987299476,1712867705497,1712867708955,False,./profiling/aes_inputs/run72.json,9093.0,0.6523300576923086,24.202199040000018
AS-95cf8533-a791-41b4-a7a5-70bdad51f410,50,8000,wait1,8000,1008,,128,1,9.9328,0.0198030303030303,0.0057794171762807,1712867722875,1712867723883,False,./profiling/aes_inputs/run61.json,7971.0,0.02044101685277078,10.06493696000001
AS-95cf8533-a791-41b4-a7a5-70bdad51f410,50,8000,Stats,8000,25,,128,1,13.225984,0.0034153846153846,0.0034153846153846,1712867733995,1712867734020,False,./profiling/aes_inputs/run61.json,7965.0,0.0038594774114773384,12.345221120000001
AS-d7ae03f1-a29d-49ed-9edf-7d607fd69d2f,50,11400,Stats,11400,27,,128,1,13.385728,0.00384375,0.00384375,1712867768165,1712867768192,False,./profiling/aes_inputs/run95.json,11406.0,0.005479416607438978,13.94700288000003
AS-086ca19f-bceb-42ed-947d-7dac00e4147a,50,5900,AES1,5900,2285,6840.0,256,8,23.011328,0.6576666666666666,0.6206542648251877,1712867769787,1712867772072,False,./profiling/aes_inputs/run40.json,5885.0,0.6544716218152861,23.723663360000035
AS-54d9f601-9f4a-4fc8-9ac4-23cffc593b66,50,8600,wait1,8600,1006,,128,1,10.125312,0.0071111111111111,0.0056167683153014,1712867785128,1712867786134,False,./profiling/aes_inputs/run67.json,8598.0,0.018657607246103526,10.959626239999979
AS-54d9f601-9f4a-4fc8-9ac4-23cffc593b66,50,8600,AES1,8600,3304,10029.0,256,8,23.277568,0.65329375,0.6209097587342319,1712867786184,1712867789488,False,./profiling/aes_inputs/run67.json,8589.0,0.6501391978088341,23.1385088
AS-a88e923e-461d-4353-bd9b-dcedc75a0d5c,50,10100,AES1,10100,3850,11706.0,256,8,23.355392,0.664388535031847,0.6278537868774097,1712867797895,1712867801745,False,./profiling/aes_inputs/run82.json,10057.0,0.6550666874174513,23.67365119999998
AS-a88e923e-461d-4353-bd9b-dcedc75a0d5c,50,10100,Stats,10100,27,,128,1,13.43488,0.0054126984126984,0.0054126984126984,1712867809648,1712867809675,False,./profiling/aes_inputs/run82.json,10063.0,0.0036043957729666037,12.794470399999984
AS-72da0d00-d434-44e5-af36-dc8eba656f77,50,11200,Stats,11200,26,,128,1,13.443072,0.00371875,0.00371875,1712867824257,1712867824283,False,./profiling/aes_inputs/run93.json,11185.0,0.003919446893332589,13.328629760000007
AS-752721ec-6932-4579-adca-2d5b521ebf0f,50,9900,AES2,39600,7514,11614.0,256,8,29.339648,1.3376794871794873,1.2427505519118356,1712867837663,1712867845177,False,./profiling/aes_inputs/run80.json,39892.0,1.3140091399270935,28.703416320000002
AS-752721ec-6932-4579-adca-2d5b521ebf0f,50,9900,AES3,89100,11614,11614.0,256,8,36.319232,1.9659559748427675,1.8422180961289985,1712867837668,1712867849282,False,./profiling/aes_inputs/run80.json,88434.0,1.989283057019913,35.42310912000002
AS-752721ec-6932-4579-adca-2d5b521ebf0f,50,9900,Stats,9900,26,,128,1,13.508608,0.0045538461538461,0.0045538461538461,1712867849320,1712867849346,False,./profiling/aes_inputs/run80.json,9891.0,0.00404696991524222,12.97494016
AS-bfdd71aa-5724-42d2-9eab-53734864f696,50,8500,wait1,8500,1006,,128,1,10.338304,0.0184461538461538,0.0058859142770494,1712867849858,1712867850864,False,./profiling/aes_inputs/run66.json,8467.0,0.015745741374434328,11.251711999999982
AS-bfdd71aa-5724-42d2-9eab-53734864f696,50,8500,AES1,8500,3302,10290.0,256,8,23.506944,0.65216875,0.6171208673358599,1712867850922,1712867854224,False,./profiling/aes_inputs/run66.json,8462.0,0.6514878827927307,24.288255999999976
AS-eeecebff-a0b9-451f-a5ca-c7fbfbefb8c2,50,7700,AES1,7700,2944,9006.0,256,8,23.658496,0.672258064516129,0.6283069214336835,1712867868577,1712867871521,False,./profiling/aes_inputs/run58.json,7693.0,0.6649265636549508,24.999854079999988
AS-af914465-5494-4da7-a4bd-ebf671780b93,50,2900,wait1,2900,1011,,128,1,10.186752,0.0197846153846153,0.0070609307845709,1712867878219,1712867879230,False,./profiling/aes_inputs/run10.json,2878.0,0.014581010212010137,10.712801279999983
AS-7497e7cf-bef7-4b21-8f9f-f2624112aeb3,50,6400,Stats,6400,25,,128,1,13.6192,0.005560606060606,0.005560606060606,1712867892006,1712867892031,False,./profiling/aes_inputs/run45.json,6388.0,0.00553295301573424,11.720417280000001
AS-736ee31b-f0a7-447c-8bca-8f61687a05cb,50,10000,AES2,40000,7703,11644.0,256,8,29.995008,1.3409807692307694,1.232944690182221,1712867893578,1712867901281,False,./profiling/aes_inputs/run81.json,40528.0,1.3137791230950668,28.6644224
AS-2dc5b038-91ff-457b-a8a4-c50a833f1fe9,50,9200,wait1,9200,1010,,128,1,10.6496,0.0099375,0.0068427718074113,1712867938504,1712867939514,False,./profiling/aes_inputs/run73.json,9180.0,0.016858670138888896,10.059489280000001
AS-0e97423a-31b3-41da-9031-3e110e739e31,50,6900,AES1,6900,2639,7950.0,256,8,23.924736,0.65315,0.6259982068583899,1712867951911,1712867954550,False,./profiling/aes_inputs/run50.json,6877.0,0.650765020950584,24.043519999999997
AS-0e97423a-31b3-41da-9031-3e110e739e31,50,6900,AES3,62100,7950,7950.0,256,8,35.930112,1.9776012658227848,1.867157485638655,1712867951910,1712867959860,False,./profiling/aes_inputs/run50.json,62028.0,1.974048625293187,36.36994047999996
AS-ff7abb5c-a7cb-4fa3-a7f0-6ccb61e2ca04,50,11700,AES1,11700,4767,13595.0,256,8,24.039424,0.657251572327044,0.6045224754666207,1712867973614,1712867978381,False,./profiling/aes_inputs/run98.json,11692.0,0.6758510098011995,24.049090560000014
AS-ff7abb5c-a7cb-4fa3-a7f0-6ccb61e2ca04,50,11700,AES2,46800,8824,13595.0,256,8,30.973952,1.3725895953757226,1.253741715403863,1712867973612,1712867982436,False,./profiling/aes_inputs/run98.json,46804.0,1.4569511032539935,30.54153727999997
AS-f6c8c850-fa69-46fb-ba90-eb61a589f678,50,4800,AES2,19200,3650,5778.0,256,8,31.199232,1.33643949044586,1.2449269068556226,1712867988887,1712867992537,False,./profiling/aes_inputs/run29.json,18944.0,1.3097977021268679,29.994311680000028
AS-f6c8c850-fa69-46fb-ba90-eb61a589f678,50,4800,Stats,4800,23,,128,1,13.303808,0.0034090909090909,0.0034090909090909,1712867994685,1712867994708,False,./profiling/aes_inputs/run29.json,4789.0,0.005383596681096669,13.853286399999991
AS-fb79c1cf-35e5-461c-9342-3a537eebb9af,50,8100,AES3,72900,9420,9420.0,256,8,36.012032,1.9878853503184712,1.8536295931874696,1712867996302,1712868005722,False,./profiling/aes_inputs/run62.json,71748.0,2.0058971988904575,34.83926527999997
AS-fb79c1cf-35e5-461c-9342-3a537eebb9af,50,8100,Stats,8100,25,,128,1,13.303808,0.0026190476190476,0.0026190476190476,1712868005753,1712868005778,False,./profiling/aes_inputs/run62.json,8104.0,0.004170747363747316,13.583032319999987
AS-214b89c4-9e89-4118-9cd1-8a16ef23a60d,50,10800,Stats,10800,25,,128,1,13.201408,0.0033283582089552,0.0033283582089552,1712868019847,1712868019872,False,./profiling/aes_inputs/run89.json,10788.0,0.004102976396737571,11.665367039999996
AS-5fe1aee7-bd24-4268-9f9f-9a4e85bde7c8,50,8300,wait1,8300,1009,,128,1,10.555392,0.0171666666666666,0.0065562088960706,1712868020430,1712868021439,False,./profiling/aes_inputs/run64.json,8286.0,0.015943976951357387,11.025285119999994
AS-5fe1aee7-bd24-4268-9f9f-9a4e85bde7c8,50,8300,AES3,74700,9773,9773.0,256,8,36.212736,1.974859872611465,1.8305784478479343,1712868021489,1712868031262,False,./profiling/aes_inputs/run64.json,75465.0,1.9822491623668521,36.735057919999974
AS-9053d83e-aba8-4c26-893f-0adc3fb1d8b3,50,5600,AES1,5600,2184,6700.0,256,8,24.2688,0.6496875000000001,0.614406350633494,1712868033023,1712868035207,False,./profiling/aes_inputs/run37.json,5585.0,0.6511353101778306,22.621511679999976
AS-d4825251-b903-4d6b-a831-f69e85f93e0d,50,2100,AES3,18900,2491,2491.0,256,8,36.028416,1.9515625,1.8304103024393004,1712868066575,1712868069066,False,./profiling/aes_inputs/run2.json,18684.0,1.9603640937990905,36.01620992000002
AS-80b7bdf3-af1e-4374-b362-48710e31d2e3,50,7600,wait1,7600,1012,,128,1,10.760192,0.0213692307692307,0.0074424095901625,1712868069639,1712868070651,False,./profiling/aes_inputs/run57.json,7587.0,0.018074691981517593,10.11830784000001
AS-7f293b72-43a5-434f-b0c0-1a46d811df19,50,3600,AES3,32400,4219,4219.0,256,8,36.171776,1.952225,1.8484984475827289,1712868081153,1712868085372,False,./profiling/aes_inputs/run17.json,31788.0,1.9860842681286643,35.27933952
AS-39ea8c94-b627-4e6b-b8db-167c7d7fec57,50,6700,AES1,6700,2645,7859.0,256,8,25.563136,0.65305,0.6113570489261823,1712868086989,1712868089634,False,./profiling/aes_inputs/run48.json,6660.0,0.6590432146575317,24.70690815999999
AS-39ea8c94-b627-4e6b-b8db-167c7d7fec57,50,6700,AES3,60300,7859,7859.0,256,8,36.134912,1.991205128205128,1.842571429788032,1712868086989,1712868094848,False,./profiling/aes_inputs/run48.json,60462.0,1.9756175412161383,36.40819711999997
AS-39ea8c94-b627-4e6b-b8db-167c7d7fec57,50,6700,Stats,6700,25,,128,1,13.344768,0.00384375,0.00384375,1712868094875,1712868094900,False,./profiling/aes_inputs/run48.json,6663.0,0.0045662858495670935,13.541621760000004
AS-85255fc0-7396-43b4-9a62-490a74349d44,50,12000,AES3,108000,13927,13927.0,256,8,36.052992,2.016554838709677,1.86060549299388,1712868096511,1712868110438,False,./profiling/aes_inputs/run101.json,106524.0,3.006730433372935,36.17771520000002
AS-58f0d03c-10b8-4e12-8814-fb121f3d40dd,50,4100,wait1,4100,1005,,128,1,10.842112,0.0209999999999999,0.0055009349959995,1712868111063,1712868112068,False,./profiling/aes_inputs/run22.json,4075.0,0.017036830152486332,10.01250816000001
AS-58f0d03c-10b8-4e12-8814-fb121f3d40dd,50,4100,Stats,4100,24,,128,1,13.406208,0.004109375,0.004109375,1712868117074,1712868117098,False,./profiling/aes_inputs/run22.json,4074.0,0.0037029071460572644,12.416163839999994
AS-bb806846-ba90-4e2f-a330-134342525915,50,3900,AES3,35100,4517,4517.0,256,8,36.388864,1.95235,1.85372085506246,1712868129449,1712868133966,False,./profiling/aes_inputs/run20.json,34686.0,1.9708120952125012,36.50826240000003
AS-621b5bfb-5df5-4b24-ab2a-17f9dc26f787,50,9400,wait1,9400,1009,,128,1,10.788864,0.0097230769230769,0.0062542995589736,1712868134612,1712868135621,False,./profiling/aes_inputs/run75.json,9389.0,0.015923319444444434,10.448158719999991
AS-a5ae256c-6d7f-4309-a506-9a74cc81121d,50,9600,Stats,9600,26,,128,1,13.430784,0.0057575757575757,0.0057575757575757,1712868160896,1712868160922,False,./profiling/aes_inputs/run77.json,9590.0,0.004985071358748745,13.780500480000006
AS-554e29cc-2ace-4c5f-9938-14be8a57cacf,50,5100,AES3,45900,5935,5935.0,256,8,36.507648,2.0026858974358976,1.8531320716486,1712868162558,1712868168493,False,./profiling/aes_inputs/run32.json,45117.0,1.9713349719244007,34.21270015999998
AS-554e29cc-2ace-4c5f-9938-14be8a57cacf,50,5100,Stats,5100,25,,128,1,13.524992,0.0049230769230769,0.0049230769230769,1712868168524,1712868168549,False,./profiling/aes_inputs/run32.json,5087.0,0.00439671878815626,10.954506239999992
AS-2bffff40-79e5-4c09-b6fb-c9fe854665a6,50,6600,wait1,6600,1009,,128,1,10.752,0.01475,0.0068774675923967,1712868169059,1712868170068,False,./profiling/aes_inputs/run47.json,6592.0,0.016937894230769163,10.063298560000012
AS-2bffff40-79e5-4c09-b6fb-c9fe854665a6,50,6600,AES3,59400,7848,7848.0,256,8,36.859904,1.9668364779874208,1.823889888473248,1712868170113,1712868177961,False,./profiling/aes_inputs/run47.json,58653.0,1.997808307299682,35.688611839999965
AS-5049850f-0fb4-49c5-bd3e-8ff50cd32329,50,10500,wait1,10500,1009,,128,1,11.001856,0.0173650793650793,0.006959346570591,1712868178558,1712868179567,False,./profiling/aes_inputs/run86.json,10480.0,0.013542639423076916,9.896386559999982
AS-ed86aa62-e52b-49a6-a709-aeb4819dbe69,50,8900,Stats,8900,24,,128,1,13.778944,0.0043939393939393,0.0043939393939393,1712868204226,1712868204250,False,./profiling/aes_inputs/run70.json,8869.0,0.004277914547146363,14.07041536
