Model,MSE,Training Time,Inference Time
RandomForest,3.3890396827866196,5.7948973178863525,0.006552696228027344
LinearRegression,3.4193057247613465,0.10608363151550293,0.0029861927032470703
DecisionTree,3.4212633715939638,0.13405156135559082,0.002521514892578125
SVR,3.1123580300770253,0.1603076457977295,0.07161784172058105
XGBoost,3.421204074026717,0.43181324005126953,0.03270220756530762
BasicNN,3.4223041420275413,0.20096707344055176,0.0002524852752685547
