Model,Target,Training Time,Inference Time,Total Time
RandomForest,Function Input,0.07808518409729004,0.0036215782165527344,0.10027456283569336
LinearRegression,Function Input,0.0011916160583496094,0.0004832744598388672,0.002599477767944336
DecisionTree,Function Input,0.0011143684387207031,0.00047469139099121094,0.0028264522552490234
SVR,Function Input,0.00496673583984375,0.0016765594482421875,0.008330583572387695
XGBoost,Function Input,1.958536148071289,0.013266563415527344,1.981454610824585
BasicNN,Function Input,0.4824850559234619,0.00028228759765625,1.183161735534668
