Unique DAG ID,DAG Input Content,DAG Input Size,Function Name,Function Input,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Avg CPU Usage,Start Time,End Time,Timeout Status,Input File
AS-f86b7757-82a8-4dcd-9e53-78b80ce570c8,100,6300,Stats,6300,23,,128,1,10.657792,0.004076923076923077,0.004076923076923077,1712869180712,1712869180735,False,./profiling/aes_inputs_100content/run44.json
AS-fc2e17c9-285a-4851-8eec-8213d86fb9d0,100,7200,wait1,7200,1007,,128,1,9.859072,0.012158730158730159,0.00672866390978636,1712869181399,1712869182406,False,./profiling/aes_inputs_100content/run53.json
AS-fc2e17c9-285a-4851-8eec-8213d86fb9d0,100,7200,AES1,7200,4263,12851,256,8,21.93408,0.65309375,0.6250031838178869,1712869182443,1712869186706,False,./profiling/aes_inputs_100content/run53.json
AS-fc2e17c9-285a-4851-8eec-8213d86fb9d0,100,7200,AES2,28800,8599,12851,256,8,27.910144,1.3278471337579618,1.238724191546933,1712869182439,1712869191038,False,./profiling/aes_inputs_100content/run53.json
AS-fc2e17c9-285a-4851-8eec-8213d86fb9d0,100,7200,AES3,64800,12851,12851,256,8,34.189312,2.0023461538461538,1.8674428048248675,1712869182444,1712869195295,False,./profiling/aes_inputs_100content/run53.json
AS-fc2e17c9-285a-4851-8eec-8213d86fb9d0,100,7200,Stats,7200,24,,128,1,10.903552,0.005666666666666667,0.005666666666666667,1712869195329,1712869195353,False,./profiling/aes_inputs_100content/run53.json
AS-724c3c5b-dee1-4239-a208-54c4363cfc59,100,2400,wait1,2400,1012,,128,1,9.54368,0.024047619047619047,0.007873718748205074,1712869195857,1712869196869,False,./profiling/aes_inputs_100content/run5.json
AS-724c3c5b-dee1-4239-a208-54c4363cfc59,100,2400,AES1,2400,1629,4316,256,8,22.065152,0.6360506329113924,0.5781918610571712,1712869196903,1712869198532,False,./profiling/aes_inputs_100content/run5.json
AS-724c3c5b-dee1-4239-a208-54c4363cfc59,100,2400,AES2,9600,3098,4316,256,8,27.815936,1.3366153846153848,1.1695462682875721,1712869196902,1712869200000,False,./profiling/aes_inputs_100content/run5.json
AS-724c3c5b-dee1-4239-a208-54c4363cfc59,100,2400,AES3,21600,4316,4316,256,8,34.205696,2.0084458598726114,1.863279535946424,1712869196904,1712869201220,False,./profiling/aes_inputs_100content/run5.json
AS-724c3c5b-dee1-4239-a208-54c4363cfc59,100,2400,Stats,2400,24,,128,1,10.932224,0.004402985074626865,0.004402985074626865,1712869201241,1712869201265,False,./profiling/aes_inputs_100content/run5.json
AS-f2ff475d-f96a-4b6f-8a81-95dfe42c5bfa,100,6100,wait1,6100,1008,,128,1,9.711616,0.02093846153846154,0.006587038768825717,1712869201818,1712869202826,False,./profiling/aes_inputs_100content/run42.json
AS-f2ff475d-f96a-4b6f-8a81-95dfe42c5bfa,100,6100,AES1,6100,3644,10977,256,8,22.327296,0.6651592356687898,0.6227999188929861,1712869202866,1712869206510,False,./profiling/aes_inputs_100content/run42.json
AS-f2ff475d-f96a-4b6f-8a81-95dfe42c5bfa,100,6100,AES2,24400,7243,10977,256,8,28.311552,1.348801282051282,1.2483353111632152,1712869202863,1712869210106,False,./profiling/aes_inputs_100content/run42.json
AS-f2ff475d-f96a-4b6f-8a81-95dfe42c5bfa,100,6100,AES3,54900,10977,10977,256,8,34.349056,1.9772974683544304,1.8585460754464824,1712869202862,1712869213839,False,./profiling/aes_inputs_100content/run42.json
AS-f2ff475d-f96a-4b6f-8a81-95dfe42c5bfa,100,6100,Stats,6100,24,,128,1,11.259904,0.0037272727272727275,0.0037272727272727275,1712869213863,1712869213887,False,./profiling/aes_inputs_100content/run42.json
AS-7e9d18d3-a188-487d-b545-e483e8795a10,100,10700,wait1,10700,1004,,128,1,9.744384,0.01326984126984127,0.005714518270114056,1712869214452,1712869215456,False,./profiling/aes_inputs_100content/run88.json
AS-7e9d18d3-a188-487d-b545-e483e8795a10,100,10700,AES1,10700,6347,19482,256,8,22.089728,0.6584465408805031,0.6272564825596332,1712869215496,1712869221843,False,./profiling/aes_inputs_100content/run88.json
AS-7e9d18d3-a188-487d-b545-e483e8795a10,100,10700,AES2,42800,12604,19482,256,8,28.192768,1.32756050955414,1.2537413186560817,1712869215495,1712869228099,False,./profiling/aes_inputs_100content/run88.json
AS-7e9d18d3-a188-487d-b545-e483e8795a10,100,10700,AES3,96300,19482,19482,256,8,34.316288,2.006653846153846,1.8342485519137577,1712869215494,1712869234976,False,./profiling/aes_inputs_100content/run88.json
AS-7e9d18d3-a188-487d-b545-e483e8795a10,100,10700,Stats,10700,24,,128,1,11.48928,0.004032258064516129,0.004032258064516129,1712869235014,1712869235038,False,./profiling/aes_inputs_100content/run88.json
AS-97792707-afb3-4c86-8e1c-39a1d3d46df1,100,6500,wait1,6500,1004,,128,1,9.6256,0.011892307692307692,0.005702696520800536,1712869235574,1712869236578,False,./profiling/aes_inputs_100content/run46.json
AS-97792707-afb3-4c86-8e1c-39a1d3d46df1,100,6500,AES1,6500,3896,14211,256,8,22.360064,0.6698589743589743,0.6211731664807202,1712869236614,1712869240510,False,./profiling/aes_inputs_100content/run46.json
AS-97792707-afb3-4c86-8e1c-39a1d3d46df1,100,6500,AES2,26000,9000,14211,256,8,28.44672,10.666403361344539,1.3040215360209788,1712869236609,1712869245609,False,./profiling/aes_inputs_100content/run46.json
