Model,Target,Training Time,Inference Time,Total Time
RandomForest,Function Input,0.07857704162597656,0.0036323070526123047,0.10201764106750488
LinearRegression,Function Input,0.0014307498931884766,0.0005290508270263672,0.0029954910278320312
DecisionTree,Function Input,0.0012748241424560547,0.00048422813415527344,0.0029458999633789062
SVR,Function Input,0.0047969818115234375,0.0015532970428466797,0.007784128189086914
XGBoost,Function Input,0.06848907470703125,0.0015912055969238281,0.07295060157775879
BasicNN,Function Input,0.32803773880004883,0.0002799034118652344,0.9771523475646973
