Model,Target,Training Time,Inference Time,Total Time
RandomForest,Function Input,0.07662177085876465,0.0034584999084472656,0.10094785690307617
LinearRegression,Function Input,0.003031492233276367,0.0004999637603759766,0.004498720169067383
DecisionTree,Function Input,0.0011887550354003906,0.0005030632019042969,0.002864360809326172
SVR,Function Input,0.004689455032348633,0.0015177726745605469,0.007482767105102539
XGBoost,Function Input,0.06156444549560547,0.001604318618774414,0.06627321243286133
BasicNN,Function Input,0.366455078125,0.0002703666687011719,1.1407980918884277
