Model,Target,Training Time,Inference Time,Total Time
RandomForest,Function Input,0.08098435401916504,0.003503561019897461,0.1043691635131836
LinearRegression,Function Input,0.001338958740234375,0.0007395744323730469,0.003626585006713867
DecisionTree,Function Input,0.0016400814056396484,0.0007870197296142578,0.0041692256927490234
SVR,Function Input,0.0045244693756103516,0.0018041133880615234,0.008112430572509766
XGBoost,Function Input,2.7210612297058105,0.009522676467895508,2.7415153980255127
BasicNN,Function Input,0.45764732360839844,0.00023937225341796875,1.1893830299377441
