Model,MSE,Training Time,Inference Time
LinearRegression,3.5601745647059615,0.1745922565460205,0.012038469314575195
RandomForest,3.514883341990054,5.808280944824219,0.006300687789916992
DecisionTree,3.4212633715939647,0.08098745346069336,0.0024423599243164062
SVR,3.17454690348777,0.14438390731811523,0.06111288070678711
XGBoost,3.421204074026717,0.4566190242767334,0.03562760353088379
BasicNN,3.297841600387491,0.3856024742126465,0.0003745555877685547
