num_of_processes,num_of_iterations,length_of_message,max_memory_usage,max_cpu_usage
8,120000,350,43.23328,2.669435897435897
3,15000,50,24.317952,0.996815286624204
5,50000,50,29.589504,1.6570127388535032
5,75000,50,34.46784,1.664208633093525
4,20000,350,27.242496,1.3755802469135805
3,30000,350,24.702976,1.0029423076923076
6,90000,350,37.343232,1.998557692307692
2,10000,50,21.614592,0.6761233766233766
6,60000,50,32.161792,2.0021153846153847
8,120000,50,42.487808,2.6828246753246754
3,15000,250,24.645632,0.9823836477987422
2,20000,250,21.901312,0.6972193548387097
8,120000,250,43.167744,2.8303694267515924
2,10000,250,21.8112,0.6736645161290322
5,50000,250,29.638656,1.6695641025641026
6,90000,250,36.84352,2.0162129032258065
4,20000,150,27.168768,1.346897435897436
5,50000,150,30.06464,1.6800903225806452
7,105000,150,39.993344,2.349722580645161
3,15000,50,24.322048,0.9720621118012422
5,50000,50,30.08512,1.6721858974358974
8,120000,50,42.549248,2.6693076923076924
4,20000,50,26.943488,1.3047062500000002
4,40000,50,27.705344,1.312308176100629
7,105000,50,40.034304,2.3195128205128204
2,10000,250,22.142976,0.6874774193548387
6,60000,250,32.923648,2.016322580645161
6,90000,250,37.433344,2.027051948051948
3,15000,350,24.113152,1.0270657894736843
6,60000,350,32.837632,2.0161290322580645
6,90000,350,37.666816,2.0140193548387098
1,5000,350,18.944,0.3423032258064516
4,40000,350,27.414528,1.3355128205128206
4,60000,350,31.342592,1.3723684210526317
3,15000,250,24.342528,1.008767741935484
4,40000,250,27.222016,1.3357385620915032
7,105000,250,40.01792,2.3345641025641024
4,20000,150,26.89024,1.3389358974358976
6,60000,150,31.903744,1.9923694267515923
4,60000,150,31.47776,1.3733691275167788
2,10000,250,22.05696,0.6654140127388535
5,50000,250,30.035968,1.664725
5,75000,250,34.521088,1.6803096774193549
1,5000,150,19.316736,0.4033291925465838
6,60000,150,32.301056,1.9763885350318475
5,75000,150,34.73408,1.6797096774193547
4,20000,450,27.344896,1.3335320512820512
4,40000,450,27.21792,1.366785234899329
8,120000,450,43.593728,2.669576923076922
2,10000,350,21.651456,0.6695961538461538
4,40000,350,27.316224,1.335897435897436
8,120000,350,42.942464,2.693057324840764
2,10000,150,21.741568,0.6736838709677418
5,50000,150,29.483008,1.6677261146496816
7,105000,150,40.42752,2.3214140127388534
3,15000,450,24.035328,1.009258064516129
6,60000,450,32.657408,2.0151096774193547
4,60000,450,32.1536,1.3514387096774194
4,20000,350,27.123712,1.3347243589743591
5,50000,350,30.175232,1.70262987012987
5,75000,350,34.729984,1.6913246753246751
2,10000,350,21.741568,0.6675350318471338
3,30000,350,24.190976,0.9886242038216562
5,75000,350,34.85696,1.682320512820513
3,15000,350,24.461312,0.9918407643312102
2,20000,350,21.843968,0.6656815286624205
4,60000,350,31.903744,1.3533116883116882
2,10000,250,21.958656,0.687461038961039
6,60000,250,32.74752,2.0913701298701297
7,105000,250,40.296448,2.427058064516129
1,5000,350,19.001344,0.3344125
2,20000,350,21.581824,0.6660569620253165
7,105000,350,40.546304,2.3424358974358976
3,15000,450,24.1664,1.0032371794871795
5,50000,450,30.306304,1.6811935483870968
4,60000,450,32.231424,1.353883116883117
2,10000,50,21.89312,0.6562830188679246
5,50000,50,30.138368,1.6480443037974686
5,75000,50,34.668544,1.6659871794871794
2,10000,50,21.987328,0.6573962264150944
3,30000,50,24.522752,1.0041089743589744
4,60000,50,31.604736,1.354409090909091
1,5000,150,19.3536,0.3445290322580645
6,60000,150,32.559104,1.9935424836601308
8,120000,150,43.077632,2.6855290322580645
2,10000,250,21.671936,0.6602064516129031
4,40000,250,27.512832,1.3775394736842106
5,75000,250,34.566144,1.6814367088607596
4,20000,50,26.963968,1.3412948717948716
2,20000,50,21.46304,0.6564842767295598
7,105000,50,40.484864,2.3427924528301887
2,10000,450,21.89312,0.6677051282051282
5,50000,450,30.22848,1.6701217948717948
4,60000,450,31.96928,1.3804805194805194
4,20000,250,27.168768,1.3308589743589745
6,60000,250,32.575488,2.0144580645161287
5,75000,250,35.1232,1.6803935483870969
2,10000,450,21.860352,0.6703589743589744
3,30000,450,24.530944,1.01562987012987
7,105000,450,40.787968,2.5158920863309358
2,10000,50,22.024192,0.65273125
3,30000,50,24.3712,1.0167012987012989
8,120000,50,42.717184,2.702987012987013
2,10000,450,21.72928,0.671448051948052
4,40000,450,27.664384,1.340331168831169
8,120000,450,42.934272,2.684396103896104
1,5000,250,19.12832,0.3349871794871795
4,40000,250,27.01312,1.336
7,105000,250,40.493056,2.374974842767296
1,5000,50,19.161088,0.3390258064516128
6,60000,50,32.268288,1.9648238993710687
4,60000,50,31.70304,1.3270314465408806
1,5000,350,19.345408,0.3798292682926829
6,60000,350,32.919552,2.0026346153846157
4,60000,350,31.789056,1.3273821656050957
1,5000,450,19.161088,0.3382451612903225
3,30000,450,24.457216,0.9999102564102564
8,120000,450,43.4176,2.6738580645161294
4,20000,250,27.066368,1.30265
3,30000,250,24.522752,1.0023269230769232
6,90000,250,37.64224,2.024409638554217
2,10000,250,22.147072,0.6732129032258065
3,30000,250,24.748032,1.0144387096774192
5,75000,250,34.697216,1.7050062499999998
3,15000,150,24.518656,1.0094451612903226
2,20000,150,21.577728,0.6695987261146497
