Unique DAG ID,DAG Input,Function Name,Input Feature,Duration,Parallel Duration,Memory_Allocated,CPU_Allocated,Max Memory Usage,Max CPU Usage,Start Time,End Time,Timeout Status,Input File
AS-ed8b96f5-b7e3-4518-81a4-683fb849c323,0.010147869674185465,AES2,0.008443609022556392,7653,11423,256,8,27.766784,1.3269554140127386,1711649518648,1711649526301,False,./profileRun/aes_run39.json
AS-ed8b96f5-b7e3-4518-81a4-683fb849c323,0.010147869674185465,AES3,0.019571428571428573,11423,11423,256,8,37.400576,2.3291025641025644,1711649517766,1711649529189,False,./profileRun/aes_run39.json
AS-ed8b96f5-b7e3-4518-81a4-683fb849c323,0.010147869674185465,Stats,,257,,128,1,9.723904,0.007640625,1711649529640,1711649529897,False,./profileRun/aes_run39.json
AS-ee8563f6-fba9-4980-8233-268ac8ca1edd,0.009477694235588974,wait1,,1242,,128,1,9.58464,0.012123076923076922,1711649531471,1711649532713,False,./profileRun/aes_run371.json
AS-ee8563f6-fba9-4980-8233-268ac8ca1edd,0.009477694235588974,AES1,0.004415037593984962,16592,48793,256,8,24.559616,1.0023076923076923,1711649534432,1711649551024,False,./profileRun/aes_run371.json
AS-ee8563f6-fba9-4980-8233-268ac8ca1edd,0.009477694235588974,AES2,0.013437593984962408,32462,48793,256,8,32.763904,1.9896305732484076,1711649532840,1711649565302,False,./profileRun/aes_run371.json
AS-ee8563f6-fba9-4980-8233-268ac8ca1edd,0.009477694235588974,AES3,0.01058045112781955,48793,48793,256,8,29.569024,1.3690569620253166,1711649533924,1711649582717,False,./profileRun/aes_run371.json
AS-ee8563f6-fba9-4980-8233-268ac8ca1edd,0.009477694235588974,Stats,,265,,128,1,11.329536,0.006833333333333334,1711649584135,1711649584400,False,./profileRun/aes_run371.json
AS-14203672-7344-4c85-970f-41581266142c,0.011647619047619047,wait1,,1252,,128,1,9.568256,0.020215384615384614,1711649585565,1711649586817,False,./profileRun/aes_run285.json
AS-14203672-7344-4c85-970f-41581266142c,0.011647619047619047,AES1,0.006359398496240601,12462,36470,256,8,27.17696,1.3124177215189872,1711649588576,1711649601038,False,./profileRun/aes_run285.json
